<<<<<<< HEAD
1,"Aamir Airport","Hoffman","US","HOF","AYGA",0,0,5282,10,"U","Pacific/Port_Moresby","airport","OurAirports"
2,"Zo Airport","Schaumburg","US","SCH","AYMD",1,0,20,10,"U","Pacific/Port_Moresby","airport","OurAirports"
3,"Alexis Airport","Chicago","US","CHI","AYMH",2,0,5388,10,"U","Pacific/Port_Moresby","airport","OurAirports"
4,"Aryan Airport","India","India","DEL","AYNZ",0,1,239,10,"U","Pacific/Port_Moresby","airport","OurAirports"
5,"Aamir_2 Airport","Hoffman_2","US","HO2","AYPY",1,1,146,10,"U","Pacific/Port_Moresby","airport","OurAirports"
6,"Zo_2 Airport","Schaumburg_2","US","SC2","AYWK",2,1,19,10,"U","Pacific/Port_Moresby","airport","OurAirports"
7,"Alexis_2 Airport","Chicago_2","US","CH2","BGBW",0,2,112,-3,"E","America/Godthab","airport","OurAirports"
8,"Aryan_2 Airport","India_2","India","DE2","BGGH",1,2,283,-3,"E","America/Godthab","airport","OurAirports"
9,"Prof Evans Airport","Urbana","US","URB","BGSF",2,2,165,-3,"E","America/Godthab","airport","OurAirports"
=======
1,"Aamir Airport","Hoffman","US","HOF","AYGA",-1,2,5282,10,"U","Pacific/Port_Moresby","airport","OurAirports"
2,"Zo Airport","Schaumburg","US","SCH","AYMD",0,2,20,10,"U","Pacific/Port_Moresby","airport","OurAirports"
3,"Alexis Airport","Chicago","US","CHI","AYMH",1,2,5388,10,"U","Pacific/Port_Moresby","airport","OurAirports"
4,"Aryan Airport","India","India","DEL","AYNZ",-1,1,239,10,"U","Pacific/Port_Moresby","airport","OurAirports"
5,"Aamir_2 Airport","Hoffman_2","US","HO2","AYPY",0,1,146,10,"U","Pacific/Port_Moresby","airport","OurAirports"
6,"Zo_2 Airport","Schaumburg_2","US","SC2","AYWK",1,1,19,10,"U","Pacific/Port_Moresby","airport","OurAirports"
7,"Alexis_2 Airport","Chicago_2","US","CH2","BGBW",-1,0,112,-3,"E","America/Godthab","airport","OurAirports"
8,"Aryan_2 Airport","India_2","India","DE2","BGGH",0,0,283,-3,"E","America/Godthab","airport","OurAirports"
9,"Prof Evans Airport","Urbana","US","URB","BGSF",1,0,165,-3,"E","America/Godthab","airport","OurAirports"
>>>>>>> origin
